model,checkpoint,low_level_policy,robotlab_command_clip,level,episodes,success_count,success_rate,collision_failures,stand_failures,fall_failures,timeout_failures,max_step_failures,mean_success_speed_mps,mean_arrival_time_s,mean_min_distance,eval_output
highyaw_best_goal_hold,logs/isaac_lab/Go2_pos_rough_isaaclab_robotlab_highyaw_contract_ab/06_06_01-32-40_20260606_highyaw_ll_clip13_vx13_contract_ab_rerun_after_crash/best_goal_hold.pt,training/isaac_lab/low_level_policies/robotlab_go2_highyaw_20260604/policy.pt,1.3,3,100,55,0.55,0,10,0,0,35,0.46562032528761227,10.519636363636366,0.8116317057609558,/home/user/rl_redeploy/SEA-Nav-Code/logs/isaac_lab/highyaw_retrain_comparison_20260606/highyaw_best_goal_hold/level_3/manual_reward_probe_hard_room_eval/06_06_11-00-00
highyaw_best_goal_hold,logs/isaac_lab/Go2_pos_rough_isaaclab_robotlab_highyaw_contract_ab/06_06_01-32-40_20260606_highyaw_ll_clip13_vx13_contract_ab_rerun_after_crash/best_goal_hold.pt,training/isaac_lab/low_level_policies/robotlab_go2_highyaw_20260604/policy.pt,1.3,6,100,33,0.33,0,40,0,0,27,0.47187883846872375,10.511515151515153,2.372613350152969,/home/user/rl_redeploy/SEA-Nav-Code/logs/isaac_lab/highyaw_retrain_comparison_20260606/highyaw_best_goal_hold/level_6/manual_reward_probe_hard_room_eval/06_06_11-01-25
highyaw_best_goal_hold,logs/isaac_lab/Go2_pos_rough_isaaclab_robotlab_highyaw_contract_ab/06_06_01-32-40_20260606_highyaw_ll_clip13_vx13_contract_ab_rerun_after_crash/best_goal_hold.pt,training/isaac_lab/low_level_policies/robotlab_go2_highyaw_20260604/policy.pt,1.3,9,100,5,0.05,0,90,1,0,4,0.38810025722966107,9.472,4.795864859223366,/home/user/rl_redeploy/SEA-Nav-Code/logs/isaac_lab/highyaw_retrain_comparison_20260606/highyaw_best_goal_hold/level_9/manual_reward_probe_hard_room_eval/06_06_11-02-37
highyaw_best_reach,logs/isaac_lab/Go2_pos_rough_isaaclab_robotlab_highyaw_contract_ab/06_06_01-32-40_20260606_highyaw_ll_clip13_vx13_contract_ab_rerun_after_crash/best_reach.pt,training/isaac_lab/low_level_policies/robotlab_go2_highyaw_20260604/policy.pt,1.3,3,100,55,0.55,0,10,0,0,35,0.46562032528761227,10.519636363636366,0.8116317057609558,/home/user/rl_redeploy/SEA-Nav-Code/logs/isaac_lab/highyaw_retrain_comparison_20260606/highyaw_best_reach/level_3/manual_reward_probe_hard_room_eval/06_06_11-03-36
highyaw_best_reach,logs/isaac_lab/Go2_pos_rough_isaaclab_robotlab_highyaw_contract_ab/06_06_01-32-40_20260606_highyaw_ll_clip13_vx13_contract_ab_rerun_after_crash/best_reach.pt,training/isaac_lab/low_level_policies/robotlab_go2_highyaw_20260604/policy.pt,1.3,6,100,33,0.33,0,40,0,0,27,0.47187883846872375,10.511515151515153,2.372613350152969,/home/user/rl_redeploy/SEA-Nav-Code/logs/isaac_lab/highyaw_retrain_comparison_20260606/highyaw_best_reach/level_6/manual_reward_probe_hard_room_eval/06_06_11-05-15
highyaw_best_reach,logs/isaac_lab/Go2_pos_rough_isaaclab_robotlab_highyaw_contract_ab/06_06_01-32-40_20260606_highyaw_ll_clip13_vx13_contract_ab_rerun_after_crash/best_reach.pt,training/isaac_lab/low_level_policies/robotlab_go2_highyaw_20260604/policy.pt,1.3,9,100,5,0.05,0,90,1,0,4,0.38810025722966107,9.472,4.795864859223366,/home/user/rl_redeploy/SEA-Nav-Code/logs/isaac_lab/highyaw_retrain_comparison_20260606/highyaw_best_reach/level_9/manual_reward_probe_hard_room_eval/06_06_11-06-30
highyaw_best_mean_reward,logs/isaac_lab/Go2_pos_rough_isaaclab_robotlab_highyaw_contract_ab/06_06_01-32-40_20260606_highyaw_ll_clip13_vx13_contract_ab_rerun_after_crash/best_mean_reward.pt,training/isaac_lab/low_level_policies/robotlab_go2_highyaw_20260604/policy.pt,1.3,3,100,62,0.62,0,7,1,0,30,0.48099397521878257,9.846451612903229,0.6276780921220779,/home/user/rl_redeploy/SEA-Nav-Code/logs/isaac_lab/highyaw_retrain_comparison_20260606/highyaw_best_mean_reward/level_3/manual_reward_probe_hard_room_eval/06_06_11-07-34
highyaw_best_mean_reward,logs/isaac_lab/Go2_pos_rough_isaaclab_robotlab_highyaw_contract_ab/06_06_01-32-40_20260606_highyaw_ll_clip13_vx13_contract_ab_rerun_after_crash/best_mean_reward.pt,training/isaac_lab/low_level_policies/robotlab_go2_highyaw_20260604/policy.pt,1.3,6,100,40,0.4,1,36,0,0,23,0.46103000566441193,10.223500000000003,1.8372040727734567,/home/user/rl_redeploy/SEA-Nav-Code/logs/isaac_lab/highyaw_retrain_comparison_20260606/highyaw_best_mean_reward/level_6/manual_reward_probe_hard_room_eval/06_06_11-08-54
highyaw_best_mean_reward,logs/isaac_lab/Go2_pos_rough_isaaclab_robotlab_highyaw_contract_ab/06_06_01-32-40_20260606_highyaw_ll_clip13_vx13_contract_ab_rerun_after_crash/best_mean_reward.pt,training/isaac_lab/low_level_policies/robotlab_go2_highyaw_20260604/policy.pt,1.3,9,100,9,0.09,0,74,8,0,9,0.3802400147797986,10.784444444444444,4.023531694412231,/home/user/rl_redeploy/SEA-Nav-Code/logs/isaac_lab/highyaw_retrain_comparison_20260606/highyaw_best_mean_reward/level_9/manual_reward_probe_hard_room_eval/06_06_11-10-23
bounded_1024_best_goal_hold,logs/isaac_lab/Go2_pos_rough_isaaclab_robotlab_contract_curriculum/05_30_19-08-44_1024env_2500it_adaptive_bounded_lr/best_goal_hold.pt,/home/user/rl_redeploy/SEA-Nav-Code/training/isaac_lab/low_level_policies/robotlab_go2_flat_20260527/policy.pt,1.0,3,100,97,0.97,0,0,0,0,3,0.5720333153291007,7.841855670103093,0.2814261935651302,/home/user/rl_redeploy/SEA-Nav-Code/logs/isaac_lab/highyaw_retrain_comparison_20260606/bounded_1024_best_goal_hold/level_3/manual_reward_probe_hard_room_eval/06_06_11-11-32
bounded_1024_best_goal_hold,logs/isaac_lab/Go2_pos_rough_isaaclab_robotlab_contract_curriculum/05_30_19-08-44_1024env_2500it_adaptive_bounded_lr/best_goal_hold.pt,/home/user/rl_redeploy/SEA-Nav-Code/training/isaac_lab/low_level_policies/robotlab_go2_flat_20260527/policy.pt,1.0,6,100,70,0.7,4,20,0,0,6,0.5373871316736012,8.805142857142858,1.3302801218628884,/home/user/rl_redeploy/SEA-Nav-Code/logs/isaac_lab/highyaw_retrain_comparison_20260606/bounded_1024_best_goal_hold/level_6/manual_reward_probe_hard_room_eval/06_06_11-12-50
bounded_1024_best_goal_hold,logs/isaac_lab/Go2_pos_rough_isaaclab_robotlab_contract_curriculum/05_30_19-08-44_1024env_2500it_adaptive_bounded_lr/best_goal_hold.pt,/home/user/rl_redeploy/SEA-Nav-Code/training/isaac_lab/low_level_policies/robotlab_go2_flat_20260527/policy.pt,1.0,9,100,54,0.54,8,30,1,0,7,0.47658463984578886,8.99592592592593,2.226589575409889,/home/user/rl_redeploy/SEA-Nav-Code/logs/isaac_lab/highyaw_retrain_comparison_20260606/bounded_1024_best_goal_hold/level_9/manual_reward_probe_hard_room_eval/06_06_11-14-03
old_256_model_3500,logs/isaac_lab/Go2_pos_rough_isaaclab_robotlab_contract_curriculum/05_27_22-33-03_256env_16000it_adaptive_limited_curriculum_equiv_steps_v2/model_3500.pt,/home/user/rl_redeploy/SEA-Nav-Code/training/isaac_lab/low_level_policies/robotlab_go2_flat_20260527/policy.pt,1.0,3,100,98,0.98,0,2,0,0,0,0.6350828318199001,6.913673469387754,0.3337140093743801,/home/user/rl_redeploy/SEA-Nav-Code/logs/isaac_lab/highyaw_retrain_comparison_20260606/old_256_model_3500/level_3/manual_reward_probe_hard_room_eval/06_06_11-15-09
old_256_model_3500,logs/isaac_lab/Go2_pos_rough_isaaclab_robotlab_contract_curriculum/05_27_22-33-03_256env_16000it_adaptive_limited_curriculum_equiv_steps_v2/model_3500.pt,/home/user/rl_redeploy/SEA-Nav-Code/training/isaac_lab/low_level_policies/robotlab_go2_flat_20260527/policy.pt,1.0,6,100,74,0.74,3,18,3,0,2,0.571213928018965,8.06054054054054,1.415047014951706,/home/user/rl_redeploy/SEA-Nav-Code/logs/isaac_lab/highyaw_retrain_comparison_20260606/old_256_model_3500/level_6/manual_reward_probe_hard_room_eval/06_06_11-16-06
old_256_model_3500,logs/isaac_lab/Go2_pos_rough_isaaclab_robotlab_contract_curriculum/05_27_22-33-03_256env_16000it_adaptive_limited_curriculum_equiv_steps_v2/model_3500.pt,/home/user/rl_redeploy/SEA-Nav-Code/training/isaac_lab/low_level_policies/robotlab_go2_flat_20260527/policy.pt,1.0,9,100,50,0.5,10,25,8,0,7,0.49902047389429355,8.5376,2.414391629844904,/home/user/rl_redeploy/SEA-Nav-Code/logs/isaac_lab/highyaw_retrain_comparison_20260606/old_256_model_3500/level_9/manual_reward_probe_hard_room_eval/06_06_11-17-10
highyaw_model_2500,logs/isaac_lab/Go2_pos_rough_isaaclab_robotlab_highyaw_contract_ab/06_06_01-32-40_20260606_highyaw_ll_clip13_vx13_contract_ab_rerun_after_crash/model_2500.pt,training/isaac_lab/low_level_policies/robotlab_go2_highyaw_20260604/policy.pt,1.3,3,100,100,1.0,0,0,0,0,0,0.6689253299930439,6.331400000000002,0.27161026537418365,/home/user/rl_redeploy/SEA-Nav-Code/logs/isaac_lab/highyaw_retrain_comparison_20260606/highyaw_model_2500/level_3/manual_reward_probe_hard_room_eval/06_06_11-18-21
highyaw_model_2500,logs/isaac_lab/Go2_pos_rough_isaaclab_robotlab_highyaw_contract_ab/06_06_01-32-40_20260606_highyaw_ll_clip13_vx13_contract_ab_rerun_after_crash/model_2500.pt,training/isaac_lab/low_level_policies/robotlab_go2_highyaw_20260604/policy.pt,1.3,6,100,67,0.67,0,27,3,0,3,0.6190480767803656,7.033432835820893,1.4470721036195755,/home/user/rl_redeploy/SEA-Nav-Code/logs/isaac_lab/highyaw_retrain_comparison_20260606/highyaw_model_2500/level_6/manual_reward_probe_hard_room_eval/06_06_11-19-11
highyaw_model_2500,logs/isaac_lab/Go2_pos_rough_isaaclab_robotlab_highyaw_contract_ab/06_06_01-32-40_20260606_highyaw_ll_clip13_vx13_contract_ab_rerun_after_crash/model_2500.pt,training/isaac_lab/low_level_policies/robotlab_go2_highyaw_20260604/policy.pt,1.3,9,100,31,0.31,0,68,1,0,0,0.4870017339573217,7.5129032258064505,3.6079897964000702,/home/user/rl_redeploy/SEA-Nav-Code/logs/isaac_lab/highyaw_retrain_comparison_20260606/highyaw_model_2500/level_9/manual_reward_probe_hard_room_eval/06_06_11-20-09
